학교급,학교명,소재지도로명주소,소재지지번주소,학교장명,교무실전화번호,행정실전화번호, 학급수 , 학생수 , 교원수 ,데이터기준일자
초등학교,솔터초등학교,경기도 김포시 김포한강7로22번길 61,경기도 김포시 마산동615-3번지 ,조상국,031-996-2541,031-996-2543,50,1214 ,72,2024-03-27
초등학교,수남초등학교,경기도 김포시 대곶면 수남로21번길 24,경기도 김포시 대곶면 대벽리47번지 ,김재섭,031-987-3690,031-982-7740,6,77 ,9,2024-03-27
초등학교,신곡초등학교,경기도 김포시 고촌읍 수기로 67-30,경기도 김포시 고촌읍 신곡리1267번지 ,박계원,031-986-9532,031-986-9536,32,836 ,49,2024-03-27
초등학교,신양초등학교,경기도 김포시 양촌읍 양곡3로 47,경기도 김포시 양촌읍 양곡리1257번지 ,주동환,031-996-0381,031-996-0383,33,778 ,48,2024-03-27
초등학교,양곡초등학교,경기도 김포시 양촌읍 양곡로 548,경기도 김포시 양촌읍 양곡리374-3번지 ,유영봉,031-981-2011,031-981-7320,21,400 ,32,2024-03-27
초등학교,양도초등학교,경기도 김포시 풍무로93번길 31,경기도 김포시 풍무동416-6번지 ,박병근,031-996-4911,031-996-4913,28,654 ,42,2024-03-27
초등학교,옹정초등학교,경기도 김포시 통진읍 옹정로185번길 26,경기도 김포시 통진읍 옹정리167-44번지 ,신원정,031-987-5640,031-987-1861,6,75 ,12,2024-03-27
초등학교,운양초등학교,경기도 김포시 전원로38번길 99,경기도 김포시 운양동273-3번지 ,전종근,031-986-0326,031-986-1892,52,1317 ,74,2024-03-27
초등학교,운유초등학교,경기도 김포시 김포한강2로 239,경기도 김포시 장기동1885-7번지 ,이승민,031-996-2741~3,031-996-2744,55,1457 ,78,2024-03-27
초등학교,월곶초등학교,경기도 김포시 월곶면 군하로276번길 28,경기도 김포시 월곶면 군하리84-1번지 ,김용찬,031-987-1831,031-987-9189,7,69 ,14,2024-03-27
초등학교,유현초등학교,경기도 김포시 유현로33번길 50,경기도 김포시 풍무동552-8번지 ,강준희,031-987-8562~3,031-987-7215,57,1490 ,84,2024-03-27
초등학교,은여울초등학교,경기도 김포시 김포한강8로 173-38,경기도 김포시 마산동 640-6,이종렬,031-980-1000,031-980-1093,67,1923 ,94,2024-03-27
초등학교,장기초등학교,경기도 김포시 김포한강2로 173,경기도 김포시 장기동1639번지 ,설진희,031-996-9630~1,031-996-9633,36,908 ,54,2024-03-27
초등학교,청수초등학교,경기도 김포시 김포한강11로 256,경기도 김포시 운양동625번지 ,김수열,031-997-0832,031-997-2158~9,68,1959 ,99,2024-03-27
초등학교,통진초등학교,경기도 김포시 통진읍 조강로 116,경기도 김포시 통진읍 서암리1108번지 ,장진석,031-982-5296~7,031-983-8286,18,374 ,24,2024-03-27
초등학교,푸른솔초등학교,경기도 김포시 김포한강2로 306,경기도 김포시 장기동1866-5번지 ,손준복,031-996-3963,031-996-3967,51,1327 ,76,2024-03-27
초등학교,풍무초등학교,경기도 김포시 풍무로96번길 71,경기도 김포시 풍무동136-10번지 ,박동권,031-983-9683~4,031-983-9686,40,1052 ,59,2024-03-27
초등학교,하늘빛초등학교,경기도 김포시 김포한강11로 374,경기도 김포시 운양동1293-2번지 ,문경일,031-996-7062~3,031-996-7064,55,1532 ,76,2024-03-27
초등학교,하성초등학교,경기도 김포시 하성면 애기봉로 857,경기도 김포시 하성면 마곡리617-1번지 ,장   진,031-988-7251,031-988-7250,8,140 ,15,2024-03-27
초등학교,학운초등학교,경기도 김포시 양촌읍 황금로70번길 13,경기도 김포시 양촌읍 학운리2825번지 ,우수식,031-981-0363,031-988-6776,12,267 ,21,2024-03-27
초등학교,향산초등학교,경기도 김포시 고촌읍 상미1로 26,경기도 김포시 고촌읍 향산리 29-4,이경아,031-8049-2701,031-8049-2879,42,1089 ,58,2024-03-27
중학교,감정중학교,경기도 김포시 감정로 25,경기도 김포시 감정동595번지 ,손진웅,031-984-7457,031-984-7466,23,702 ,47,2024-03-27
중학교,고창중학교,경기도 김포시 초당로 15,경기도 김포시 장기동1594번지 ,서명규,031-986-2574,031-986-2576,30,1013 ,64,2024-03-27
중학교,고촌중학교,경기도 김포시 고촌읍 신곡로 106,경기도 김포시 고촌읍 신곡리446-2번지 ,홍승모,031-986-0235~6,031-986-2414,17,460 ,34,2024-03-27
중학교,금파중학교,경기도 김포시 김포대로926번길 88-9,경기도 김포시 북변동811번지 ,정경옥,031-998-4121~2,031-998-4123,34,1065 ,71,2024-03-27
중학교,김포신곡중학교,경기도 김포시 고촌읍 수기로 54-20,경기도 김포시 고촌읍 신곡리836-3번지 ,이희순,031-985-1093~4,031-985-1095,28,872 ,55,2024-03-27
중학교,김포여자중학교,경기도 김포시 봉화로 37-15,경기도 김포시 사우동216번지 ,이혜경,031-983-2073,031-983-2071,10,250 ,29,2024-03-27
중학교,김포중학교,경기도 김포시 봉화로 83,경기도 김포시 북변동477번지 ,박행자,031-982-2171,031-982-2174,10,252 ,26,2024-03-27
중학교,김포한가람중학교,경기도 김포시 김포한강9로 140,경기도 김포시 구래동6873-6번지 ,박경희,031-996-7391~2,031-996-7395~6,30,891 ,60,2024-03-27
중학교,나래중학교,경기도 김포시 김포한강9로 19,경기도 김포시 구래동 6893-3,조남미,031-5186-2800,031-5186-2808,20,619 ,44,2024-03-27
중학교,대곶중학교,경기도 김포시 대곶면 율생중앙로 8,경기도 김포시 대곶면 율생리336-2번지 ,김찬중,031-987-0148,031-987-0149,8,144 ,22,2024-03-27
중학교,마송중학교,경기도 김포시 통진읍 서암로 7,경기도 김포시 통진읍 마송리509번지 ,이흥용,031-983-6843,031-983-6842,11,250 ,24,2024-03-27
중학교,신양중학교,경기도 김포시 양촌읍 양곡4로 243,경기도 김포시 양촌읍 양곡리1251번지 ,석금례,031-980-8410,031-980-8404,14,299 ,29,2024-03-27
중학교,양도중학교,경기도 김포시 양도로56번길 59-25,경기도 김포시 풍무동472-4번지 ,선원희,031-986-2315,031-986-2316,28,813 ,56,2024-03-27
중학교,운양중학교,경기도 김포시 김포한강2로24번길 50,경기도 김포시 장기동2000-2번지 ,정승화,031-985-2652,031-984-0040,35,1166 ,76,2024-03-27
중학교,은여울중학교,경기도 김포시 김포한강8로 173-48,경기도 김포시 마산동639-9번지 ,곽지현,031-996-7354,031-996-7351,34,1019 ,73,2024-03-27
중학교,장기중학교,경기도 김포시 청송로 5,경기도 김포시 장기동1314번지 ,조성택,031-986-7301,031-986-7304,36,1189 ,74,2024-03-27
중학교,푸른솔중학교,경기도 김포시 김포한강2로 328,경기도 김포시 장기동1866-3번지 ,성경모,031-996-1673,031-996-1671,32,1040 ,67,2024-03-27
중학교,풍무중학교,경기도 김포시 유현로33번길 60,경기도 김포시 풍무동545-1번지 ,이경희,031-997-1692,031-997-1791,37,1153 ,80,2024-03-27
중학교,하늘빛중학교,경기도 김포시 김포한강11로 354,경기도 김포시 운양동1295-4번지 ,김경선,031-986-3168,031-986-3169,33,1098 ,71,2024-03-27
중학교,하성중학교,경기도 김포시 하성면 애기봉로806번길 30,경기도 김포시 하성면 마곡리640-1번지 ,이종민,031-988-7263,031-988-7262,7,109 ,19,2024-03-27
중학교,향산중학교,경기도 김포시 고촌읍 상미1로 26,경기도 김포시 고촌읍 향산리 29-4,이경아,031-8049-2801,031-8049-2871,12,341 ,29,2024-03-27
중학교,분진중학교,경기도 김포시 월곶면 애기봉로11번길 86,경기도 김포시 월곶면 군하리70번지 ,최희도,031-987-1725,031-987-0455,3,40 ,14,2024-03-27
중학교,양곡중학교,경기도 김포시 양촌읍 양곡4로 138,경기도 김포시 양촌읍 양곡리286-1번지 ,김태욱,031-981-0140,031-981-0147,15,412 ,31,2024-03-27
중학교,통진중학교,경기도 김포시 통진읍 김포대로 2165,경기도 김포시 통진읍 마송리8-1번지 ,김태왕,031-987-0126,031-987-1122,19,477 ,42,2024-03-27
고등학교,고촌고등학교,경기도 김포시 고촌읍 태리로47번길 20,경기도 김포시 고촌읍 태리 290-2 ,양현주,031-8048-5100,031-8048-5200,32,971 ,71,2024-03-27
고등학교,김포고등학교,경기도 김포시 봉화로 37-15,경기도 김포시 사우동216번지 ,박미애,031-984-2017,031-984-2377,33,1058 ,73,2024-03-27
고등학교,김포제일고등학교,경기도 김포시 김포한강11로 242,경기도 김포시 운양동625-8번지 ,정선주,031-950-6511,031-950-6507,36,1184 ,86,2024-03-27
고등학교,김포과학기술고등학교,경기도 김포시 봉화로 69,경기도 김포시 북변동477번지 ,노진섭,031-999-3655,031-999-3608,25,547 ,63,2024-03-27
고등학교,마송고등학교,경기도 김포시 통진읍 마송1로 155,경기도 김포시 통진읍 마송리509번지 ,이흥용,031-987-6571,031-987-6783,23,465 ,51,2024-03-27
고등학교,사우고등학교,경기도 김포시 김포대로 824,경기도 김포시 사우동908번지 ,황선숙,031-985-3421,031-985-2393,37,1162 ,83,2024-03-27
고등학교,솔터고등학교, 경기도 김포시 김포한강7로22번길 109,경기도 김포시 마산동 615-6,이혜련,031-996-9646,031-996-9643,33,1087 ,85,2024-03-27
고등학교,운양고등학교, 경기도 김포시 김포한강11로 58,경기도 김포시 운양동 1325-6,박기일,031-996-6285,031-996-6282,33,1074 ,84,2024-03-27
고등학교,운유고등학교,경기도 김포시 김포한강2로 236,경기도 김포시 장기동 1886-3,이성미,031-5186-5000,031-5186-5074,15,491 ,34,2024-03-27
고등학교,장기고등학교, 경기도 김포시 김포한강2로 131,경기도 김포시 장기동 1654,정미경,031-984-1852,031-984-5359,35,1069 ,72,2024-03-27
고등학교,풍무고등학교, 경기도 김포시 풍무로93번길 53,경기도 김포시 풍무동 411-5,김지영,031-996-4383,031-996-4382,37,1179 ,80,2024-03-27
고등학교,하성고등학교, 경기도 김포시 하성면 애기봉로806번길 30,경기도 김포시 하성면 마곡리 640-1,이종민,031-988-7265,031-988-7261,14,223 ,35,2024-03-27
고등학교,김포외국어고등학교,경기도 김포시 월곶면 김포대로 2537,경기도 김포시 월곶면 갈산리465-33번지 ,김진성,031-996-7700,031-996-7702,24,540 ,45,2024-03-27
고등학교,양곡고등학교, 경기도 김포시 양촌읍 양곡4로 138,경기도 김포시 양촌읍 양곡리 286-1,박윤식,031-981-0138,031-981-0137,23,747 ,53,2024-03-27
고등학교,통진고등학교, 경기도 김포시 통진읍 김포대로 2165,경기도 김포시 통진읍 마송리 14-15,차찬규,031-987-0127,031-987-0124,31,837 ,70,2024-03-27
특수학교,새솔학교, 경기도 김포시 김포한강3로 315,경기도 김포시 장기동 1888-11,김기매,031-999-9101,031-999-9104,38,214 ,91,2024-03-27
